Specialty,Score Type,Total Questions,Difficulty,qwen2.5-14b-cpu,qwen3-8b-cpu,gemma3-12b-cpu,phi4-latest-cpu,phi4-14b-cpu,qwen2.5-7b-cpu,hf.co_mradermacher_MiniCPM4-8B-GGUF-latest-cpu,notus-latest-cpu,qwen2.5-1.5b-cpu,gemma2-9b-cpu,zephyr-7b-cpu,Elixpo_LlamaMedicine-latest-cpu,qwen2.5-3b-cpu,llama3.1-8b-cpu,mistral-nemo-12b-cpu,qwen2-7b-cpu,hf.co_unsloth_medgemma-4b-it-GGUF-latest-cpu,thewindmom_llama3-med42-8b-latest-cpu,llama3-8b-cpu,llava-phi3-latest-cpu,neural-chat-latest-cpu,qwen-7b-cpu,gemma3-4b-cpu,gemma2-2b-cpu,potaTOES33_healthmateai-latest-cpu,mistral-7b-instruct-cpu,dolphin-llama3-8b-cpu,minicpm-v-8b-cpu,glm4-9b-cpu,mistral-openorca-latest-cpu,llama3-chatqa-8b-cpu,llava-7b-cpu,dolphin3-8b-cpu,dolphin3-latest-cpu,qwen-4b-cpu,hf.co_mradermacher_JSL-MedMNX-7B-GGUF-latest-cpu,llama3.2-3b-cpu,gemma-7b-cpu,orca-mini-7b-cpu,dolphin-mistral-7b-cpu,qwen3-4b-cpu,qwen3-1.7b-cpu,qwen-1.8b-cpu,wizardlm2-7b-cpu,llama-pro-latest-cpu,hf.co_mradermacher_JSL-MedLlama-3-8B-v9-GGUF-latest-cpu,qwen2-1.5b-cpu,smollm2-360m-cpu,gemma3-1b-cpu,llama2-7b-cpu,phi3-3.8b-cpu,llama2-latest-cpu,stablelm-zephyr-3b-cpu,qwen2.5-0.5b-cpu,deepseek-r1-8b-cpu,qwen-0.5b-cpu,qwen3-0.6b-cpu,smollm2-1.7b-cpu,phi-latest-cpu,phi4-mini-3.8b-cpu,hf.co_mradermacher_DeepSeek-R1-Health-Risk-COT3-GGUF-latest-cpu,xwinlm-latest-cpu,deepseek-r1-7b-cpu,orca-mini-3b-cpu,qwen2-0.5b-cpu,orca-mini-latest-cpu,wizard-vicuna-uncensored-7b-cpu,medllama2-latest-cpu,mdubu_saaam_is_a_doctor-latest-cpu,gemma-2b-cpu,deepseek-r1-1.5b-cpu,llama3.2-1b-cpu,z-uo_llava-med-v1.5-mistral-7b_q8_0-latest-cpu,exaone-deep-7.8b-cpu,deepscaler-latest-cpu,tinyllama-latest-cpu,falcon-7b-cpu,smollm2-135m-cpu,hf.co_mradermacher_Qwen3_4B_healthcare_exercise_model-i1-GGUF-latest-cpu,moondream-v2-cpu,moondream-1.8b-cpu,hf.co_unsloth_DeepSeek-R1-0528-Qwen3-8B-GGUF-latest-cpu,exaone-deep-2.4b-cpu,monotykamary_medichat-llama3-latest-cpu,tinydolphin-latest-cpu,hf.co_mradermacher_medgemma-4b-pt-GGUF-latest-cpu,taozhiyuai_openbiollm-llama-3-8b_q8_0-cpu,mistral-7b-text-cpu,everythinglm-latest-cpu,meditron-latest-cpu,phi3.5-3.8b-cpu,meditron-7b-cpu,hf.co_mradermacher_JSL-Med-Phi-3.5-Mini-v3-GGUF-latest-cpu
Nutrition Genetics,General,30,All,66.7%,53.3%,76.7%,83.3%,86.7%,70.0%,66.7%,66.7%,60.0%,70.0%,73.3%,63.3%,70.0%,73.3%,70.0%,60.0%,76.7%,60.0%,73.3%,63.3%,70.0%,43.3%,63.3%,60.0%,0.0%,60.0%,70.0%,56.7%,53.3%,60.0%,53.3%,60.0%,70.0%,50.0%,40.0%,66.7%,66.7%,36.7%,60.0%,66.7%,23.3%,56.7%,0.0%,53.3%,60.0%,60.0%,56.7%,40.0%,46.7%,40.0%,0.0%,40.0%,53.3%,50.0%,13.3%,43.3%,50.0%,56.7%,40.0%,70.0%,10.0%,40.0%,20.0%,33.3%,56.7%,30.0%,46.7%,36.7%,36.7%,46.7%,23.3%,46.7%,23.3%,3.3%,36.7%,46.7%,30.0%,43.3%,13.3%,33.3%,33.3%,0.0%,20.0%,20.0%,26.7%,6.7%,23.3%,26.7%,16.7%,10.0%,0.0%,10.0%,0.0%
Nutrition Genetics,Vital,12,All,16.7%,58.3%,91.7%,83.3%,83.3%,41.7%,91.7%,100.0%,33.3%,100.0%,83.3%,91.7%,25.0%,100.0%,66.7%,66.7%,91.7%,0.0%,100.0%,58.3%,75.0%,100.0%,91.7%,91.7%,0.0%,91.7%,91.7%,75.0%,100.0%,83.3%,75.0%,58.3%,91.7%,75.0%,100.0%,83.3%,33.3%,83.3%,0.0%,66.7%,16.7%,83.3%,0.0%,100.0%,25.0%,0.0%,66.7%,100.0%,100.0%,100.0%,0.0%,100.0%,0.0%,8.3%,33.3%,83.3%,100.0%,8.3%,91.7%,83.3%,25.0%,100.0%,50.0%,75.0%,25.0%,75.0%,50.0%,83.3%,58.3%,100.0%,50.0%,0.0%,58.3%,8.3%,75.0%,75.0%,58.3%,58.3%,25.0%,83.3%,83.3%,0.0%,25.0%,8.3%,66.7%,8.3%,33.3%,33.3%,25.0%,16.7%,0.0%,16.7%,0.0%
Nutrition Genetics,General,30,Mid,66.7%,53.3%,76.7%,83.3%,86.7%,70.0%,66.7%,66.7%,60.0%,70.0%,73.3%,63.3%,70.0%,73.3%,70.0%,60.0%,76.7%,60.0%,73.3%,63.3%,70.0%,43.3%,63.3%,60.0%,0.0%,60.0%,70.0%,56.7%,53.3%,60.0%,53.3%,60.0%,70.0%,50.0%,40.0%,66.7%,66.7%,36.7%,60.0%,66.7%,23.3%,56.7%,0.0%,53.3%,60.0%,60.0%,56.7%,40.0%,46.7%,40.0%,0.0%,40.0%,53.3%,50.0%,13.3%,43.3%,50.0%,56.7%,40.0%,70.0%,10.0%,40.0%,20.0%,33.3%,56.7%,30.0%,46.7%,36.7%,36.7%,46.7%,23.3%,46.7%,23.3%,3.3%,36.7%,46.7%,30.0%,43.3%,13.3%,33.3%,33.3%,0.0%,20.0%,20.0%,26.7%,6.7%,23.3%,26.7%,16.7%,10.0%,0.0%,10.0%,0.0%
Nutrition Genetics,Vital,12,Mid,16.7%,58.3%,91.7%,83.3%,83.3%,41.7%,91.7%,100.0%,33.3%,100.0%,83.3%,91.7%,25.0%,100.0%,66.7%,66.7%,91.7%,0.0%,100.0%,58.3%,75.0%,100.0%,91.7%,91.7%,0.0%,91.7%,91.7%,75.0%,100.0%,83.3%,75.0%,58.3%,91.7%,75.0%,100.0%,83.3%,33.3%,83.3%,0.0%,66.7%,16.7%,83.3%,0.0%,100.0%,25.0%,0.0%,66.7%,100.0%,100.0%,100.0%,0.0%,100.0%,0.0%,8.3%,33.3%,83.3%,100.0%,8.3%,91.7%,83.3%,25.0%,100.0%,50.0%,75.0%,25.0%,75.0%,50.0%,83.3%,58.3%,100.0%,50.0%,0.0%,58.3%,8.3%,75.0%,75.0%,58.3%,58.3%,25.0%,83.3%,83.3%,0.0%,25.0%,8.3%,66.7%,8.3%,33.3%,33.3%,25.0%,16.7%,0.0%,16.7%,0.0%
Nutrition Intake Menu Calculus,General,30,All,70.0%,13.3%,63.3%,66.7%,66.7%,66.7%,76.7%,70.0%,60.0%,53.3%,63.3%,63.3%,70.0%,56.7%,70.0%,66.7%,50.0%,70.0%,50.0%,63.3%,70.0%,63.3%,66.7%,56.7%,0.0%,70.0%,43.3%,36.7%,63.3%,53.3%,33.3%,70.0%,43.3%,50.0%,60.0%,73.3%,60.0%,70.0%,70.0%,56.7%,3.3%,43.3%,0.0%,10.0%,56.7%,63.3%,43.3%,30.0%,36.7%,30.0%,66.7%,30.0%,73.3%,66.7%,3.3%,36.7%,20.0%,66.7%,33.3%,70.0%,13.3%,26.7%,16.7%,30.0%,66.7%,23.3%,43.3%,26.7%,23.3%,70.0%,10.0%,70.0%,13.3%,0.0%,23.3%,30.0%,20.0%,36.7%,26.7%,63.3%,63.3%,0.0%,0.0%,30.0%,16.7%,10.0%,13.3%,13.3%,10.0%,6.7%,0.0%,0.0%,0.0%
Nutrition Intake Menu Calculus,Vital,8,All,75.0%,12.5%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,87.5%,62.5%,62.5%,62.5%,75.0%,50.0%,75.0%,62.5%,50.0%,75.0%,37.5%,75.0%,75.0%,62.5%,75.0%,50.0%,0.0%,75.0%,37.5%,37.5%,75.0%,50.0%,25.0%,87.5%,50.0%,50.0%,62.5%,87.5%,75.0%,87.5%,75.0%,37.5%,12.5%,62.5%,0.0%,0.0%,50.0%,62.5%,37.5%,25.0%,25.0%,25.0%,75.0%,25.0%,75.0%,75.0%,0.0%,37.5%,12.5%,75.0%,37.5%,75.0%,25.0%,25.0%,37.5%,25.0%,62.5%,12.5%,37.5%,37.5%,0.0%,75.0%,12.5%,75.0%,0.0%,0.0%,25.0%,25.0%,12.5%,37.5%,37.5%,75.0%,75.0%,0.0%,0.0%,37.5%,12.5%,0.0%,0.0%,25.0%,25.0%,12.5%,0.0%,0.0%,0.0%
Nutrition Intake Menu Calculus,General,30,Easy,70.0%,13.3%,63.3%,66.7%,66.7%,66.7%,76.7%,70.0%,60.0%,53.3%,63.3%,63.3%,70.0%,56.7%,70.0%,66.7%,50.0%,70.0%,50.0%,63.3%,70.0%,63.3%,66.7%,56.7%,0.0%,70.0%,43.3%,36.7%,63.3%,53.3%,33.3%,70.0%,43.3%,50.0%,60.0%,73.3%,60.0%,70.0%,70.0%,56.7%,3.3%,43.3%,0.0%,10.0%,56.7%,63.3%,43.3%,30.0%,36.7%,30.0%,66.7%,30.0%,73.3%,66.7%,3.3%,36.7%,20.0%,66.7%,33.3%,70.0%,13.3%,26.7%,16.7%,30.0%,66.7%,23.3%,43.3%,26.7%,23.3%,70.0%,10.0%,70.0%,13.3%,0.0%,23.3%,30.0%,20.0%,36.7%,26.7%,63.3%,63.3%,0.0%,0.0%,30.0%,16.7%,10.0%,13.3%,13.3%,10.0%,6.7%,0.0%,0.0%,0.0%
Nutrition Intake Menu Calculus,Vital,8,Easy,75.0%,12.5%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,87.5%,62.5%,62.5%,62.5%,75.0%,50.0%,75.0%,62.5%,50.0%,75.0%,37.5%,75.0%,75.0%,62.5%,75.0%,50.0%,0.0%,75.0%,37.5%,37.5%,75.0%,50.0%,25.0%,87.5%,50.0%,50.0%,62.5%,87.5%,75.0%,87.5%,75.0%,37.5%,12.5%,62.5%,0.0%,0.0%,50.0%,62.5%,37.5%,25.0%,25.0%,25.0%,75.0%,25.0%,75.0%,75.0%,0.0%,37.5%,12.5%,75.0%,37.5%,75.0%,25.0%,25.0%,37.5%,25.0%,62.5%,12.5%,37.5%,37.5%,0.0%,75.0%,12.5%,75.0%,0.0%,0.0%,25.0%,25.0%,12.5%,37.5%,37.5%,75.0%,75.0%,0.0%,0.0%,37.5%,12.5%,0.0%,0.0%,25.0%,25.0%,12.5%,0.0%,0.0%,0.0%
Nutrition Intake Menu Intake and C,General,30,All,56.7%,60.0%,56.7%,60.0%,50.0%,56.7%,56.7%,60.0%,53.3%,60.0%,60.0%,63.3%,56.7%,53.3%,56.7%,63.3%,56.7%,56.7%,63.3%,56.7%,60.0%,60.0%,56.7%,56.7%,0.0%,60.0%,56.7%,56.7%,33.3%,53.3%,46.7%,56.7%,46.7%,66.7%,46.7%,56.7%,43.3%,43.3%,60.0%,36.7%,56.7%,50.0%,0.0%,43.3%,56.7%,46.7%,63.3%,40.0%,43.3%,43.3%,3.3%,43.3%,53.3%,60.0%,23.3%,40.0%,16.7%,60.0%,30.0%,53.3%,43.3%,43.3%,16.7%,56.7%,63.3%,60.0%,36.7%,33.3%,36.7%,56.7%,16.7%,56.7%,6.7%,40.0%,13.3%,30.0%,30.0%,50.0%,46.7%,53.3%,53.3%,0.0%,10.0%,30.0%,20.0%,13.3%,3.3%,13.3%,10.0%,3.3%,0.0%,3.3%,0.0%
Nutrition Intake Menu Intake and C,Vital,16,All,68.8%,56.2%,68.8%,62.5%,62.5%,68.8%,50.0%,68.8%,62.5%,62.5%,62.5%,75.0%,68.8%,62.5%,68.8%,56.2%,68.8%,68.8%,68.8%,50.0%,75.0%,50.0%,68.8%,68.8%,0.0%,43.8%,68.8%,62.5%,18.8%,50.0%,37.5%,56.2%,31.2%,68.8%,43.8%,50.0%,56.2%,43.8%,68.8%,43.8%,62.5%,43.8%,0.0%,50.0%,62.5%,37.5%,50.0%,31.2%,31.2%,31.2%,0.0%,31.2%,62.5%,68.8%,25.0%,31.2%,18.8%,56.2%,31.2%,62.5%,37.5%,31.2%,12.5%,37.5%,68.8%,43.8%,37.5%,25.0%,25.0%,68.8%,18.8%,68.8%,6.2%,50.0%,6.2%,25.0%,25.0%,43.8%,43.8%,43.8%,43.8%,0.0%,6.2%,37.5%,18.8%,18.8%,0.0%,6.2%,0.0%,6.2%,0.0%,6.2%,0.0%
Nutrition Intake Menu Intake and C,General,30,Easy,56.7%,60.0%,56.7%,60.0%,50.0%,56.7%,56.7%,60.0%,53.3%,60.0%,60.0%,63.3%,56.7%,53.3%,56.7%,63.3%,56.7%,56.7%,63.3%,56.7%,60.0%,60.0%,56.7%,56.7%,0.0%,60.0%,56.7%,56.7%,33.3%,53.3%,46.7%,56.7%,46.7%,66.7%,46.7%,56.7%,43.3%,43.3%,60.0%,36.7%,56.7%,50.0%,0.0%,43.3%,56.7%,46.7%,63.3%,40.0%,43.3%,43.3%,3.3%,43.3%,53.3%,60.0%,23.3%,40.0%,16.7%,60.0%,30.0%,53.3%,43.3%,43.3%,16.7%,56.7%,63.3%,60.0%,36.7%,33.3%,36.7%,56.7%,16.7%,56.7%,6.7%,40.0%,13.3%,30.0%,30.0%,50.0%,46.7%,53.3%,53.3%,0.0%,10.0%,30.0%,20.0%,13.3%,3.3%,13.3%,10.0%,3.3%,0.0%,3.3%,0.0%
Nutrition Intake Menu Intake and C,Vital,16,Easy,68.8%,56.2%,68.8%,62.5%,62.5%,68.8%,50.0%,68.8%,62.5%,62.5%,62.5%,75.0%,68.8%,62.5%,68.8%,56.2%,68.8%,68.8%,68.8%,50.0%,75.0%,50.0%,68.8%,68.8%,0.0%,43.8%,68.8%,62.5%,18.8%,50.0%,37.5%,56.2%,31.2%,68.8%,43.8%,50.0%,56.2%,43.8%,68.8%,43.8%,62.5%,43.8%,0.0%,50.0%,62.5%,37.5%,50.0%,31.2%,31.2%,31.2%,0.0%,31.2%,62.5%,68.8%,25.0%,31.2%,18.8%,56.2%,31.2%,62.5%,37.5%,31.2%,12.5%,37.5%,68.8%,43.8%,37.5%,25.0%,25.0%,68.8%,18.8%,68.8%,6.2%,50.0%,6.2%,25.0%,25.0%,43.8%,43.8%,43.8%,43.8%,0.0%,6.2%,37.5%,18.8%,18.8%,0.0%,6.2%,0.0%,6.2%,0.0%,6.2%,0.0%
Nutrition Meal Prep,General,25,All,88.0%,96.0%,92.0%,100.0%,100.0%,88.0%,84.0%,92.0%,72.0%,100.0%,96.0%,92.0%,56.0%,88.0%,88.0%,88.0%,80.0%,80.0%,80.0%,84.0%,96.0%,76.0%,96.0%,72.0%,80.0%,88.0%,68.0%,84.0%,76.0%,76.0%,68.0%,80.0%,80.0%,84.0%,72.0%,72.0%,72.0%,60.0%,68.0%,76.0%,96.0%,84.0%,48.0%,92.0%,68.0%,72.0%,76.0%,64.0%,60.0%,60.0%,68.0%,60.0%,56.0%,52.0%,60.0%,44.0%,44.0%,36.0%,52.0%,80.0%,48.0%,56.0%,64.0%,36.0%,52.0%,36.0%,64.0%,56.0%,52.0%,48.0%,28.0%,36.0%,52.0%,76.0%,44.0%,36.0%,28.0%,16.0%,16.0%,48.0%,48.0%,92.0%,72.0%,20.0%,4.0%,28.0%,16.0%,8.0%,4.0%,8.0%,0.0%,8.0%,0.0%
Nutrition Meal Prep,Vital,12,All,91.7%,100.0%,91.7%,100.0%,100.0%,100.0%,91.7%,100.0%,58.3%,100.0%,100.0%,100.0%,50.0%,91.7%,100.0%,100.0%,75.0%,91.7%,91.7%,83.3%,100.0%,75.0%,100.0%,83.3%,91.7%,100.0%,83.3%,83.3%,91.7%,91.7%,83.3%,75.0%,83.3%,83.3%,83.3%,58.3%,75.0%,66.7%,58.3%,83.3%,100.0%,83.3%,58.3%,100.0%,66.7%,66.7%,83.3%,75.0%,75.0%,75.0%,66.7%,75.0%,66.7%,50.0%,66.7%,50.0%,33.3%,16.7%,66.7%,75.0%,66.7%,66.7%,58.3%,33.3%,41.7%,50.0%,75.0%,58.3%,33.3%,33.3%,8.3%,25.0%,66.7%,91.7%,50.0%,50.0%,50.0%,16.7%,25.0%,58.3%,58.3%,91.7%,83.3%,16.7%,8.3%,33.3%,16.7%,0.0%,8.3%,0.0%,0.0%,16.7%,0.0%
Nutrition Meal Prep,General,25,Mid,88.0%,96.0%,92.0%,100.0%,100.0%,88.0%,84.0%,92.0%,72.0%,100.0%,96.0%,92.0%,56.0%,88.0%,88.0%,88.0%,80.0%,80.0%,80.0%,84.0%,96.0%,76.0%,96.0%,72.0%,80.0%,88.0%,68.0%,84.0%,76.0%,76.0%,68.0%,80.0%,80.0%,84.0%,72.0%,72.0%,72.0%,60.0%,68.0%,76.0%,96.0%,84.0%,48.0%,92.0%,68.0%,72.0%,76.0%,64.0%,60.0%,60.0%,68.0%,60.0%,56.0%,52.0%,60.0%,44.0%,44.0%,36.0%,52.0%,80.0%,48.0%,56.0%,64.0%,36.0%,52.0%,36.0%,64.0%,56.0%,52.0%,48.0%,28.0%,36.0%,52.0%,76.0%,44.0%,36.0%,28.0%,16.0%,16.0%,48.0%,48.0%,92.0%,72.0%,20.0%,4.0%,28.0%,16.0%,8.0%,4.0%,8.0%,0.0%,8.0%,0.0%
Nutrition Meal Prep,Vital,12,Mid,91.7%,100.0%,91.7%,100.0%,100.0%,100.0%,91.7%,100.0%,58.3%,100.0%,100.0%,100.0%,50.0%,91.7%,100.0%,100.0%,75.0%,91.7%,91.7%,83.3%,100.0%,75.0%,100.0%,83.3%,91.7%,100.0%,83.3%,83.3%,91.7%,91.7%,83.3%,75.0%,83.3%,83.3%,83.3%,58.3%,75.0%,66.7%,58.3%,83.3%,100.0%,83.3%,58.3%,100.0%,66.7%,66.7%,83.3%,75.0%,75.0%,75.0%,66.7%,75.0%,66.7%,50.0%,66.7%,50.0%,33.3%,16.7%,66.7%,75.0%,66.7%,66.7%,58.3%,33.3%,41.7%,50.0%,75.0%,58.3%,33.3%,33.3%,8.3%,25.0%,66.7%,91.7%,50.0%,50.0%,50.0%,16.7%,25.0%,58.3%,58.3%,91.7%,83.3%,16.7%,8.3%,33.3%,16.7%,0.0%,8.3%,0.0%,0.0%,16.7%,0.0%
Nutrition Nutrients Daily Intake,General,25,All,76.0%,88.0%,80.0%,80.0%,72.0%,72.0%,92.0%,84.0%,72.0%,76.0%,80.0%,68.0%,68.0%,64.0%,64.0%,84.0%,64.0%,64.0%,68.0%,60.0%,72.0%,72.0%,64.0%,76.0%,52.0%,72.0%,60.0%,60.0%,56.0%,64.0%,52.0%,64.0%,68.0%,56.0%,68.0%,72.0%,44.0%,68.0%,60.0%,60.0%,72.0%,68.0%,60.0%,28.0%,60.0%,68.0%,44.0%,36.0%,32.0%,32.0%,72.0%,32.0%,72.0%,64.0%,56.0%,40.0%,52.0%,64.0%,44.0%,72.0%,64.0%,28.0%,56.0%,24.0%,56.0%,24.0%,44.0%,24.0%,16.0%,68.0%,40.0%,48.0%,28.0%,40.0%,36.0%,8.0%,24.0%,12.0%,48.0%,20.0%,20.0%,72.0%,36.0%,16.0%,4.0%,12.0%,4.0%,12.0%,0.0%,4.0%,0.0%,0.0%,0.0%
Nutrition Nutrients Daily Intake,Vital,11,All,90.9%,100.0%,90.9%,90.9%,81.8%,90.9%,90.9%,90.9%,90.9%,81.8%,90.9%,63.6%,90.9%,54.5%,63.6%,100.0%,72.7%,81.8%,72.7%,63.6%,81.8%,63.6%,63.6%,72.7%,54.5%,81.8%,54.5%,72.7%,54.5%,63.6%,36.4%,72.7%,54.5%,36.4%,63.6%,81.8%,54.5%,63.6%,81.8%,54.5%,81.8%,81.8%,63.6%,36.4%,72.7%,90.9%,27.3%,9.1%,9.1%,9.1%,81.8%,9.1%,81.8%,90.9%,54.5%,27.3%,54.5%,72.7%,63.6%,72.7%,63.6%,0.0%,54.5%,0.0%,81.8%,9.1%,36.4%,9.1%,9.1%,90.9%,36.4%,45.5%,27.3%,54.5%,36.4%,0.0%,0.0%,9.1%,36.4%,27.3%,27.3%,81.8%,36.4%,9.1%,9.1%,0.0%,0.0%,9.1%,0.0%,0.0%,0.0%,0.0%,0.0%
Nutrition Nutrients Daily Intake,General,25,Mid,76.0%,88.0%,80.0%,80.0%,72.0%,72.0%,92.0%,84.0%,72.0%,76.0%,80.0%,68.0%,68.0%,64.0%,64.0%,84.0%,64.0%,64.0%,68.0%,60.0%,72.0%,72.0%,64.0%,76.0%,52.0%,72.0%,60.0%,60.0%,56.0%,64.0%,52.0%,64.0%,68.0%,56.0%,68.0%,72.0%,44.0%,68.0%,60.0%,60.0%,72.0%,68.0%,60.0%,28.0%,60.0%,68.0%,44.0%,36.0%,32.0%,32.0%,72.0%,32.0%,72.0%,64.0%,56.0%,40.0%,52.0%,64.0%,44.0%,72.0%,64.0%,28.0%,56.0%,24.0%,56.0%,24.0%,44.0%,24.0%,16.0%,68.0%,40.0%,48.0%,28.0%,40.0%,36.0%,8.0%,24.0%,12.0%,48.0%,20.0%,20.0%,72.0%,36.0%,16.0%,4.0%,12.0%,4.0%,12.0%,0.0%,4.0%,0.0%,0.0%,0.0%
Nutrition Nutrients Daily Intake,Vital,11,Mid,90.9%,100.0%,90.9%,90.9%,81.8%,90.9%,90.9%,90.9%,90.9%,81.8%,90.9%,63.6%,90.9%,54.5%,63.6%,100.0%,72.7%,81.8%,72.7%,63.6%,81.8%,63.6%,63.6%,72.7%,54.5%,81.8%,54.5%,72.7%,54.5%,63.6%,36.4%,72.7%,54.5%,36.4%,63.6%,81.8%,54.5%,63.6%,81.8%,54.5%,81.8%,81.8%,63.6%,36.4%,72.7%,90.9%,27.3%,9.1%,9.1%,9.1%,81.8%,9.1%,81.8%,90.9%,54.5%,27.3%,54.5%,72.7%,63.6%,72.7%,63.6%,0.0%,54.5%,0.0%,81.8%,9.1%,36.4%,9.1%,9.1%,90.9%,36.4%,45.5%,27.3%,54.5%,36.4%,0.0%,0.0%,9.1%,36.4%,27.3%,27.3%,81.8%,36.4%,9.1%,9.1%,0.0%,0.0%,9.1%,0.0%,0.0%,0.0%,0.0%,0.0%
Nutrition Physiology,General,30,All,70.0%,76.7%,70.0%,96.7%,96.7%,83.3%,56.7%,53.3%,66.7%,76.7%,63.3%,60.0%,63.3%,60.0%,70.0%,76.7%,63.3%,60.0%,60.0%,53.3%,63.3%,56.7%,56.7%,56.7%,0.0%,56.7%,56.7%,53.3%,60.0%,56.7%,53.3%,63.3%,56.7%,56.7%,56.7%,63.3%,46.7%,56.7%,50.0%,60.0%,66.7%,70.0%,0.0%,60.0%,50.0%,56.7%,60.0%,56.7%,56.7%,56.7%,3.3%,56.7%,50.0%,43.3%,53.3%,56.7%,50.0%,33.3%,60.0%,70.0%,46.7%,56.7%,43.3%,50.0%,56.7%,53.3%,23.3%,43.3%,33.3%,63.3%,36.7%,43.3%,36.7%,36.7%,40.0%,50.0%,40.0%,53.3%,23.3%,20.0%,20.0%,0.0%,23.3%,26.7%,20.0%,10.0%,20.0%,13.3%,10.0%,6.7%,0.0%,0.0%,0.0%
Nutrition Physiology,Vital,0,All,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Nutrition Physiology,General,30,Mid,70.0%,76.7%,70.0%,96.7%,96.7%,83.3%,56.7%,53.3%,66.7%,76.7%,63.3%,60.0%,63.3%,60.0%,70.0%,76.7%,63.3%,60.0%,60.0%,53.3%,63.3%,56.7%,56.7%,56.7%,0.0%,56.7%,56.7%,53.3%,60.0%,56.7%,53.3%,63.3%,56.7%,56.7%,56.7%,63.3%,46.7%,56.7%,50.0%,60.0%,66.7%,70.0%,0.0%,60.0%,50.0%,56.7%,60.0%,56.7%,56.7%,56.7%,3.3%,56.7%,50.0%,43.3%,53.3%,56.7%,50.0%,33.3%,60.0%,70.0%,46.7%,56.7%,43.3%,50.0%,56.7%,53.3%,23.3%,43.3%,33.3%,63.3%,36.7%,43.3%,36.7%,36.7%,40.0%,50.0%,40.0%,53.3%,23.3%,20.0%,20.0%,0.0%,23.3%,26.7%,20.0%,10.0%,20.0%,13.3%,10.0%,6.7%,0.0%,0.0%,0.0%
Nutrition Physiology,Vital,0,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Nutrition Recommendations,General,30,All,100.0%,73.3%,100.0%,93.3%,100.0%,100.0%,100.0%,100.0%,96.7%,100.0%,100.0%,100.0%,100.0%,93.3%,93.3%,96.7%,100.0%,100.0%,96.7%,100.0%,100.0%,100.0%,100.0%,90.0%,0.0%,96.7%,70.0%,66.7%,56.7%,63.3%,30.0%,43.3%,63.3%,70.0%,96.7%,96.7%,100.0%,100.0%,96.7%,63.3%,73.3%,86.7%,0.0%,76.7%,96.7%,100.0%,3.3%,10.0%,0.0%,0.0%,100.0%,0.0%,100.0%,63.3%,83.3%,33.3%,13.3%,70.0%,40.0%,66.7%,86.7%,0.0%,76.7%,20.0%,73.3%,16.7%,70.0%,10.0%,6.7%,96.7%,60.0%,100.0%,56.7%,26.7%,60.0%,23.3%,33.3%,46.7%,13.3%,46.7%,46.7%,0.0%,43.3%,30.0%,6.7%,3.3%,0.0%,10.0%,0.0%,3.3%,33.3%,3.3%,0.0%
