Specialty,Score Type,Total Questions,Difficulty,phi4-latest-cpu,qwen2.5-14b-cpu,qwen2.5-7b-cpu,qwen3-8b-cpu,llama3.1-8b-cpu,hf.co_unsloth_medgemma-4b-it-GGUF-latest-cpu,Elixpo_LlamaMedicine-latest-cpu,gemma3-12b-cpu,dolphin3-latest-cpu,qwen3-4b-cpu,phi4-14b-cpu,qwen3-1.7b-cpu,notus-latest-cpu,gemma2-9b-cpu,zephyr-7b-cpu,qwen2.5-1.5b-cpu,mistral-nemo-12b-cpu,llama-pro-latest-cpu,qwen2-7b-cpu,thewindmom_llama3-med42-8b-latest-cpu,llama3-8b-cpu,llava-phi3-latest-cpu,neural-chat-latest-cpu,qwen-7b-cpu,qwen2.5-3b-cpu,gemma3-4b-cpu,gemma2-2b-cpu,potaTOES33_healthmateai-latest-cpu,mistral-7b-instruct-cpu,dolphin-llama3-8b-cpu,minicpm-v-8b-cpu,glm4-9b-cpu,mistral-openorca-latest-cpu,llama3-chatqa-8b-cpu,llava-7b-cpu,dolphin3-8b-cpu,qwen-4b-cpu,llama3.2-3b-cpu,gemma-7b-cpu,orca-mini-7b-cpu,dolphin-mistral-7b-cpu,deepseek-r1-8b-cpu,qwen-1.8b-cpu,wizardlm2-7b-cpu,qwen2-1.5b-cpu,smollm2-360m-cpu,gemma3-1b-cpu,orca-mini-3b-cpu,llama2-7b-cpu,phi3-3.8b-cpu,llama2-latest-cpu,stablelm-zephyr-3b-cpu,qwen-0.5b-cpu,qwen3-0.6b-cpu,smollm2-1.7b-cpu,phi-latest-cpu,phi4-mini-3.8b-cpu,qwen2.5-0.5b-cpu,xwinlm-latest-cpu,deepseek-r1-7b-cpu,qwen2-0.5b-cpu,orca-mini-latest-cpu,wizard-vicuna-uncensored-7b-cpu,medllama2-latest-cpu,mdubu_saaam_is_a_doctor-latest-cpu,gemma-2b-cpu,deepseek-r1-1.5b-cpu,llama3.2-1b-cpu,z-uo_llava-med-v1.5-mistral-7b_q8_0-latest-cpu,exaone-deep-7.8b-cpu,deepscaler-latest-cpu,tinyllama-latest-cpu,moondream-v2-cpu,moondream-1.8b-cpu,falcon-7b-cpu,smollm2-135m-cpu,hf.co_unsloth_DeepSeek-R1-0528-Qwen3-8B-GGUF-latest-cpu,exaone-deep-2.4b-cpu,monotykamary_medichat-llama3-latest-cpu,tinydolphin-latest-cpu,taozhiyuai_openbiollm-llama-3-8b_q8_0-cpu,mistral-7b-text-cpu,everythinglm-latest-cpu,meditron-latest-cpu,phi3.5-3.8b-cpu,meditron-7b-cpu
Nutrition Intake Menu Intake and C,Vital,16,All,62.5%,68.8%,68.8%,56.2%,62.5%,68.8%,75.0%,68.8%,68.8%,62.5%,62.5%,43.8%,68.8%,62.5%,62.5%,62.5%,68.8%,62.5%,56.2%,68.8%,68.8%,50.0%,75.0%,50.0%,68.8%,68.8%,68.8%,0.0%,43.8%,68.8%,62.5%,18.8%,50.0%,37.5%,56.2%,31.2%,43.8%,56.2%,43.8%,68.8%,43.8%,25.0%,0.0%,50.0%,50.0%,31.2%,31.2%,37.5%,31.2%,0.0%,31.2%,62.5%,31.2%,18.8%,56.2%,31.2%,62.5%,68.8%,31.2%,12.5%,68.8%,43.8%,37.5%,25.0%,25.0%,68.8%,18.8%,68.8%,6.2%,50.0%,6.2%,25.0%,43.8%,43.8%,25.0%,43.8%,0.0%,6.2%,37.5%,18.8%,0.0%,6.2%,0.0%,6.2%,0.0%,6.2%
Nutrition Intake Menu Intake and C,General,30,Easy,60.0%,56.7%,56.7%,60.0%,53.3%,56.7%,63.3%,56.7%,66.7%,56.7%,50.0%,50.0%,60.0%,60.0%,60.0%,53.3%,56.7%,56.7%,63.3%,56.7%,63.3%,56.7%,60.0%,60.0%,56.7%,56.7%,56.7%,0.0%,60.0%,56.7%,56.7%,33.3%,53.3%,46.7%,56.7%,46.7%,46.7%,43.3%,43.3%,60.0%,36.7%,23.3%,0.0%,43.3%,63.3%,40.0%,43.3%,56.7%,43.3%,3.3%,43.3%,53.3%,40.0%,16.7%,60.0%,30.0%,53.3%,60.0%,43.3%,16.7%,63.3%,60.0%,36.7%,33.3%,36.7%,56.7%,16.7%,56.7%,6.7%,40.0%,13.3%,30.0%,53.3%,53.3%,30.0%,50.0%,0.0%,10.0%,30.0%,20.0%,3.3%,13.3%,10.0%,3.3%,0.0%,3.3%
Nutrition Intake Menu Intake and C,Vital,16,Easy,62.5%,68.8%,68.8%,56.2%,62.5%,68.8%,75.0%,68.8%,68.8%,62.5%,62.5%,43.8%,68.8%,62.5%,62.5%,62.5%,68.8%,62.5%,56.2%,68.8%,68.8%,50.0%,75.0%,50.0%,68.8%,68.8%,68.8%,0.0%,43.8%,68.8%,62.5%,18.8%,50.0%,37.5%,56.2%,31.2%,43.8%,56.2%,43.8%,68.8%,43.8%,25.0%,0.0%,50.0%,50.0%,31.2%,31.2%,37.5%,31.2%,0.0%,31.2%,62.5%,31.2%,18.8%,56.2%,31.2%,62.5%,68.8%,31.2%,12.5%,68.8%,43.8%,37.5%,25.0%,25.0%,68.8%,18.8%,68.8%,6.2%,50.0%,6.2%,25.0%,43.8%,43.8%,25.0%,43.8%,0.0%,6.2%,37.5%,18.8%,0.0%,6.2%,0.0%,6.2%,0.0%,6.2%
Nutrition Meal Prep,General,25,All,100.0%,88.0%,88.0%,96.0%,88.0%,80.0%,92.0%,92.0%,84.0%,96.0%,100.0%,84.0%,92.0%,100.0%,96.0%,72.0%,88.0%,68.0%,88.0%,80.0%,80.0%,84.0%,96.0%,76.0%,56.0%,96.0%,72.0%,80.0%,88.0%,68.0%,84.0%,76.0%,76.0%,68.0%,80.0%,80.0%,72.0%,72.0%,60.0%,68.0%,76.0%,60.0%,48.0%,92.0%,76.0%,64.0%,60.0%,36.0%,60.0%,68.0%,60.0%,56.0%,44.0%,44.0%,36.0%,52.0%,80.0%,52.0%,56.0%,64.0%,52.0%,36.0%,64.0%,56.0%,52.0%,48.0%,28.0%,36.0%,52.0%,76.0%,44.0%,36.0%,48.0%,48.0%,28.0%,16.0%,92.0%,72.0%,20.0%,4.0%,16.0%,8.0%,4.0%,8.0%,0.0%,8.0%
Nutrition Meal Prep,Vital,12,All,100.0%,91.7%,100.0%,100.0%,91.7%,75.0%,100.0%,91.7%,83.3%,100.0%,100.0%,83.3%,100.0%,100.0%,100.0%,58.3%,100.0%,66.7%,100.0%,91.7%,91.7%,83.3%,100.0%,75.0%,50.0%,100.0%,83.3%,91.7%,100.0%,83.3%,83.3%,91.7%,91.7%,83.3%,75.0%,83.3%,83.3%,75.0%,66.7%,58.3%,83.3%,66.7%,58.3%,100.0%,83.3%,75.0%,75.0%,33.3%,75.0%,66.7%,75.0%,66.7%,50.0%,33.3%,16.7%,66.7%,75.0%,50.0%,66.7%,58.3%,41.7%,50.0%,75.0%,58.3%,33.3%,33.3%,8.3%,25.0%,66.7%,91.7%,50.0%,50.0%,58.3%,58.3%,50.0%,16.7%,91.7%,83.3%,16.7%,8.3%,16.7%,0.0%,8.3%,0.0%,0.0%,16.7%
Nutrition Meal Prep,General,25,Mid,100.0%,88.0%,88.0%,96.0%,88.0%,80.0%,92.0%,92.0%,84.0%,96.0%,100.0%,84.0%,92.0%,100.0%,96.0%,72.0%,88.0%,68.0%,88.0%,80.0%,80.0%,84.0%,96.0%,76.0%,56.0%,96.0%,72.0%,80.0%,88.0%,68.0%,84.0%,76.0%,76.0%,68.0%,80.0%,80.0%,72.0%,72.0%,60.0%,68.0%,76.0%,60.0%,48.0%,92.0%,76.0%,64.0%,60.0%,36.0%,60.0%,68.0%,60.0%,56.0%,44.0%,44.0%,36.0%,52.0%,80.0%,52.0%,56.0%,64.0%,52.0%,36.0%,64.0%,56.0%,52.0%,48.0%,28.0%,36.0%,52.0%,76.0%,44.0%,36.0%,48.0%,48.0%,28.0%,16.0%,92.0%,72.0%,20.0%,4.0%,16.0%,8.0%,4.0%,8.0%,0.0%,8.0%
Nutrition Meal Prep,Vital,12,Mid,100.0%,91.7%,100.0%,100.0%,91.7%,75.0%,100.0%,91.7%,83.3%,100.0%,100.0%,83.3%,100.0%,100.0%,100.0%,58.3%,100.0%,66.7%,100.0%,91.7%,91.7%,83.3%,100.0%,75.0%,50.0%,100.0%,83.3%,91.7%,100.0%,83.3%,83.3%,91.7%,91.7%,83.3%,75.0%,83.3%,83.3%,75.0%,66.7%,58.3%,83.3%,66.7%,58.3%,100.0%,83.3%,75.0%,75.0%,33.3%,75.0%,66.7%,75.0%,66.7%,50.0%,33.3%,16.7%,66.7%,75.0%,50.0%,66.7%,58.3%,41.7%,50.0%,75.0%,58.3%,33.3%,33.3%,8.3%,25.0%,66.7%,91.7%,50.0%,50.0%,58.3%,58.3%,50.0%,16.7%,91.7%,83.3%,16.7%,8.3%,16.7%,0.0%,8.3%,0.0%,0.0%,16.7%
Nutrition Nutrients Daily Intake,General,25,All,80.0%,76.0%,72.0%,88.0%,64.0%,64.0%,68.0%,80.0%,56.0%,72.0%,72.0%,68.0%,84.0%,76.0%,80.0%,72.0%,64.0%,60.0%,84.0%,64.0%,68.0%,60.0%,72.0%,72.0%,68.0%,64.0%,76.0%,52.0%,72.0%,60.0%,60.0%,56.0%,64.0%,52.0%,64.0%,68.0%,68.0%,44.0%,68.0%,60.0%,60.0%,56.0%,60.0%,28.0%,44.0%,36.0%,32.0%,24.0%,32.0%,72.0%,32.0%,72.0%,40.0%,52.0%,64.0%,44.0%,72.0%,64.0%,28.0%,56.0%,56.0%,24.0%,44.0%,24.0%,16.0%,68.0%,40.0%,48.0%,28.0%,40.0%,36.0%,8.0%,20.0%,20.0%,24.0%,12.0%,72.0%,36.0%,16.0%,4.0%,4.0%,12.0%,0.0%,4.0%,0.0%,0.0%
Nutrition Nutrients Daily Intake,Vital,11,All,90.9%,90.9%,90.9%,100.0%,54.5%,72.7%,63.6%,90.9%,36.4%,81.8%,81.8%,81.8%,90.9%,81.8%,90.9%,90.9%,63.6%,72.7%,100.0%,81.8%,72.7%,63.6%,81.8%,63.6%,90.9%,63.6%,72.7%,54.5%,81.8%,54.5%,72.7%,54.5%,63.6%,36.4%,72.7%,54.5%,63.6%,54.5%,63.6%,81.8%,54.5%,54.5%,63.6%,36.4%,27.3%,9.1%,9.1%,0.0%,9.1%,81.8%,9.1%,81.8%,27.3%,54.5%,72.7%,63.6%,72.7%,90.9%,0.0%,54.5%,81.8%,9.1%,36.4%,9.1%,9.1%,90.9%,36.4%,45.5%,27.3%,54.5%,36.4%,0.0%,27.3%,27.3%,0.0%,9.1%,81.8%,36.4%,9.1%,9.1%,0.0%,9.1%,0.0%,0.0%,0.0%,0.0%
Nutrition Nutrients Daily Intake,General,25,Mid,80.0%,76.0%,72.0%,88.0%,64.0%,64.0%,68.0%,80.0%,56.0%,72.0%,72.0%,68.0%,84.0%,76.0%,80.0%,72.0%,64.0%,60.0%,84.0%,64.0%,68.0%,60.0%,72.0%,72.0%,68.0%,64.0%,76.0%,52.0%,72.0%,60.0%,60.0%,56.0%,64.0%,52.0%,64.0%,68.0%,68.0%,44.0%,68.0%,60.0%,60.0%,56.0%,60.0%,28.0%,44.0%,36.0%,32.0%,24.0%,32.0%,72.0%,32.0%,72.0%,40.0%,52.0%,64.0%,44.0%,72.0%,64.0%,28.0%,56.0%,56.0%,24.0%,44.0%,24.0%,16.0%,68.0%,40.0%,48.0%,28.0%,40.0%,36.0%,8.0%,20.0%,20.0%,24.0%,12.0%,72.0%,36.0%,16.0%,4.0%,4.0%,12.0%,0.0%,4.0%,0.0%,0.0%
Nutrition Nutrients Daily Intake,Vital,11,Mid,90.9%,90.9%,90.9%,100.0%,54.5%,72.7%,63.6%,90.9%,36.4%,81.8%,81.8%,81.8%,90.9%,81.8%,90.9%,90.9%,63.6%,72.7%,100.0%,81.8%,72.7%,63.6%,81.8%,63.6%,90.9%,63.6%,72.7%,54.5%,81.8%,54.5%,72.7%,54.5%,63.6%,36.4%,72.7%,54.5%,63.6%,54.5%,63.6%,81.8%,54.5%,54.5%,63.6%,36.4%,27.3%,9.1%,9.1%,0.0%,9.1%,81.8%,9.1%,81.8%,27.3%,54.5%,72.7%,63.6%,72.7%,90.9%,0.0%,54.5%,81.8%,9.1%,36.4%,9.1%,9.1%,90.9%,36.4%,45.5%,27.3%,54.5%,36.4%,0.0%,27.3%,27.3%,0.0%,9.1%,81.8%,36.4%,9.1%,9.1%,0.0%,9.1%,0.0%,0.0%,0.0%,0.0%
Nutrition Physiology,General,30,All,96.7%,70.0%,83.3%,76.7%,60.0%,63.3%,60.0%,70.0%,56.7%,66.7%,96.7%,70.0%,53.3%,76.7%,63.3%,66.7%,70.0%,50.0%,76.7%,60.0%,60.0%,53.3%,63.3%,56.7%,63.3%,56.7%,56.7%,0.0%,56.7%,56.7%,53.3%,60.0%,56.7%,53.3%,63.3%,56.7%,56.7%,46.7%,56.7%,50.0%,60.0%,53.3%,0.0%,60.0%,60.0%,56.7%,56.7%,50.0%,56.7%,3.3%,56.7%,50.0%,56.7%,50.0%,33.3%,60.0%,70.0%,43.3%,56.7%,43.3%,56.7%,53.3%,23.3%,43.3%,33.3%,63.3%,36.7%,43.3%,36.7%,36.7%,40.0%,50.0%,20.0%,20.0%,40.0%,53.3%,0.0%,23.3%,26.7%,20.0%,20.0%,13.3%,10.0%,6.7%,0.0%,0.0%
Nutrition Physiology,Vital,0,All,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Nutrition Physiology,General,30,Mid,96.7%,70.0%,83.3%,76.7%,60.0%,63.3%,60.0%,70.0%,56.7%,66.7%,96.7%,70.0%,53.3%,76.7%,63.3%,66.7%,70.0%,50.0%,76.7%,60.0%,60.0%,53.3%,63.3%,56.7%,63.3%,56.7%,56.7%,0.0%,56.7%,56.7%,53.3%,60.0%,56.7%,53.3%,63.3%,56.7%,56.7%,46.7%,56.7%,50.0%,60.0%,53.3%,0.0%,60.0%,60.0%,56.7%,56.7%,50.0%,56.7%,3.3%,56.7%,50.0%,56.7%,50.0%,33.3%,60.0%,70.0%,43.3%,56.7%,43.3%,56.7%,53.3%,23.3%,43.3%,33.3%,63.3%,36.7%,43.3%,36.7%,36.7%,40.0%,50.0%,20.0%,20.0%,40.0%,53.3%,0.0%,23.3%,26.7%,20.0%,20.0%,13.3%,10.0%,6.7%,0.0%,0.0%
Nutrition Physiology,Vital,0,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Nutrition Recommendations,General,30,All,93.3%,100.0%,100.0%,73.3%,93.3%,100.0%,100.0%,100.0%,70.0%,73.3%,100.0%,86.7%,100.0%,100.0%,100.0%,96.7%,93.3%,96.7%,96.7%,100.0%,96.7%,100.0%,100.0%,100.0%,100.0%,100.0%,90.0%,0.0%,96.7%,70.0%,66.7%,56.7%,63.3%,30.0%,43.3%,63.3%,96.7%,100.0%,100.0%,96.7%,63.3%,83.3%,0.0%,76.7%,3.3%,10.0%,0.0%,20.0%,0.0%,100.0%,0.0%,100.0%,33.3%,13.3%,70.0%,40.0%,66.7%,63.3%,0.0%,76.7%,73.3%,16.7%,70.0%,10.0%,6.7%,96.7%,60.0%,100.0%,56.7%,26.7%,60.0%,23.3%,46.7%,46.7%,33.3%,46.7%,0.0%,43.3%,30.0%,6.7%,0.0%,10.0%,0.0%,3.3%,33.3%,3.3%
Nutrition Recommendations,Vital,13,All,92.3%,100.0%,100.0%,53.8%,84.6%,100.0%,100.0%,100.0%,30.8%,61.5%,100.0%,76.9%,100.0%,100.0%,100.0%,92.3%,92.3%,92.3%,100.0%,100.0%,92.3%,100.0%,100.0%,100.0%,100.0%,100.0%,92.3%,0.0%,100.0%,76.9%,46.2%,53.8%,46.2%,30.8%,53.8%,46.2%,100.0%,100.0%,100.0%,100.0%,76.9%,76.9%,0.0%,69.2%,0.0%,0.0%,0.0%,23.1%,0.0%,100.0%,0.0%,100.0%,23.1%,15.4%,92.3%,53.8%,53.8%,61.5%,0.0%,69.2%,76.9%,7.7%,92.3%,23.1%,15.4%,100.0%,46.2%,100.0%,38.5%,23.1%,46.2%,30.8%,15.4%,15.4%,38.5%,46.2%,0.0%,38.5%,23.1%,0.0%,0.0%,15.4%,0.0%,0.0%,46.2%,7.7%
Nutrition Recommendations,General,30,Easy,93.3%,100.0%,100.0%,73.3%,93.3%,100.0%,100.0%,100.0%,70.0%,73.3%,100.0%,86.7%,100.0%,100.0%,100.0%,96.7%,93.3%,96.7%,96.7%,100.0%,96.7%,100.0%,100.0%,100.0%,100.0%,100.0%,90.0%,0.0%,96.7%,70.0%,66.7%,56.7%,63.3%,30.0%,43.3%,63.3%,96.7%,100.0%,100.0%,96.7%,63.3%,83.3%,0.0%,76.7%,3.3%,10.0%,0.0%,20.0%,0.0%,100.0%,0.0%,100.0%,33.3%,13.3%,70.0%,40.0%,66.7%,63.3%,0.0%,76.7%,73.3%,16.7%,70.0%,10.0%,6.7%,96.7%,60.0%,100.0%,56.7%,26.7%,60.0%,23.3%,46.7%,46.7%,33.3%,46.7%,0.0%,43.3%,30.0%,6.7%,0.0%,10.0%,0.0%,3.3%,33.3%,3.3%
Nutrition Recommendations,Vital,13,Easy,92.3%,100.0%,100.0%,53.8%,84.6%,100.0%,100.0%,100.0%,30.8%,61.5%,100.0%,76.9%,100.0%,100.0%,100.0%,92.3%,92.3%,92.3%,100.0%,100.0%,92.3%,100.0%,100.0%,100.0%,100.0%,100.0%,92.3%,0.0%,100.0%,76.9%,46.2%,53.8%,46.2%,30.8%,53.8%,46.2%,100.0%,100.0%,100.0%,100.0%,76.9%,76.9%,0.0%,69.2%,0.0%,0.0%,0.0%,23.1%,0.0%,100.0%,0.0%,100.0%,23.1%,15.4%,92.3%,53.8%,53.8%,61.5%,0.0%,69.2%,76.9%,7.7%,92.3%,23.1%,15.4%,100.0%,46.2%,100.0%,38.5%,23.1%,46.2%,30.8%,15.4%,15.4%,38.5%,46.2%,0.0%,38.5%,23.1%,0.0%,0.0%,15.4%,0.0%,0.0%,46.2%,7.7%
Nutrition Safety,General,30,All,83.3%,80.0%,70.0%,76.7%,63.3%,63.3%,70.0%,70.0%,46.7%,76.7%,80.0%,60.0%,73.3%,76.7%,66.7%,63.3%,66.7%,53.3%,73.3%,70.0%,56.7%,66.7%,63.3%,53.3%,86.7%,70.0%,70.0%,0.0%,56.7%,53.3%,56.7%,63.3%,50.0%,53.3%,43.3%,50.0%,46.7%,70.0%,56.7%,73.3%,50.0%,43.3%,0.0%,66.7%,53.3%,46.7%,50.0%,46.7%,46.7%,3.3%,46.7%,60.0%,43.3%,36.7%,30.0%,40.0%,76.7%,53.3%,50.0%,53.3%,36.7%,46.7%,33.3%,43.3%,46.7%,53.3%,56.7%,53.3%,23.3%,53.3%,36.7%,40.0%,20.0%,20.0%,40.0%,56.7%,0.0%,26.7%,16.7%,10.0%,10.0%,10.0%,0.0%,6.7%,0.0%,3.3%
Nutrition Safety,Vital,16,All,81.2%,100.0%,56.2%,81.2%,56.2%,50.0%,62.5%,62.5%,18.8%,87.5%,87.5%,50.0%,81.2%,81.2%,56.2%,43.8%,62.5%,31.2%,62.5%,68.8%,43.8%,62.5%,50.0%,31.2%,87.5%,62.5%,62.5%,0.0%,37.5%,25.0%,37.5%,50.0%,25.0%,31.2%,25.0%,25.0%,18.8%,93.8%,37.5%,62.5%,37.5%,43.8%,0.0%,56.2%,25.0%,18.8%,25.0%,18.8%,18.8%,0.0%,18.8%,87.5%,18.8%,31.2%,37.5%,18.8%,68.8%,43.8%,25.0%,43.8%,43.8%,18.8%,25.0%,18.8%,31.2%,56.2%,50.0%,81.2%,18.8%,43.8%,31.2%,18.8%,37.5%,37.5%,25.0%,43.8%,0.0%,31.2%,6.2%,6.2%,6.2%,6.2%,0.0%,0.0%,0.0%,6.2%
Nutrition Safety,General,30,Mid,83.3%,80.0%,70.0%,76.7%,63.3%,63.3%,70.0%,70.0%,46.7%,76.7%,80.0%,60.0%,73.3%,76.7%,66.7%,63.3%,66.7%,53.3%,73.3%,70.0%,56.7%,66.7%,63.3%,53.3%,86.7%,70.0%,70.0%,0.0%,56.7%,53.3%,56.7%,63.3%,50.0%,53.3%,43.3%,50.0%,46.7%,70.0%,56.7%,73.3%,50.0%,43.3%,0.0%,66.7%,53.3%,46.7%,50.0%,46.7%,46.7%,3.3%,46.7%,60.0%,43.3%,36.7%,30.0%,40.0%,76.7%,53.3%,50.0%,53.3%,36.7%,46.7%,33.3%,43.3%,46.7%,53.3%,56.7%,53.3%,23.3%,53.3%,36.7%,40.0%,20.0%,20.0%,40.0%,56.7%,0.0%,26.7%,16.7%,10.0%,10.0%,10.0%,0.0%,6.7%,0.0%,3.3%
Nutrition Safety,Vital,16,Mid,81.2%,100.0%,56.2%,81.2%,56.2%,50.0%,62.5%,62.5%,18.8%,87.5%,87.5%,50.0%,81.2%,81.2%,56.2%,43.8%,62.5%,31.2%,62.5%,68.8%,43.8%,62.5%,50.0%,31.2%,87.5%,62.5%,62.5%,0.0%,37.5%,25.0%,37.5%,50.0%,25.0%,31.2%,25.0%,25.0%,18.8%,93.8%,37.5%,62.5%,37.5%,43.8%,0.0%,56.2%,25.0%,18.8%,25.0%,18.8%,18.8%,0.0%,18.8%,87.5%,18.8%,31.2%,37.5%,18.8%,68.8%,43.8%,25.0%,43.8%,43.8%,18.8%,25.0%,18.8%,31.2%,56.2%,50.0%,81.2%,18.8%,43.8%,31.2%,18.8%,37.5%,37.5%,25.0%,43.8%,0.0%,31.2%,6.2%,6.2%,6.2%,6.2%,0.0%,0.0%,0.0%,6.2%
Nutrition Vegan,General,30,All,90.0%,66.7%,70.0%,56.7%,73.3%,73.3%,73.3%,76.7%,63.3%,46.7%,86.7%,46.7%,70.0%,76.7%,66.7%,70.0%,70.0%,53.3%,63.3%,70.0%,66.7%,56.7%,60.0%,66.7%,60.0%,70.0%,63.3%,0.0%,66.7%,66.7%,66.7%,73.3%,70.0%,63.3%,63.3%,63.3%,66.7%,53.3%,63.3%,50.0%,56.7%,53.3%,0.0%,63.3%,60.0%,63.3%,63.3%,63.3%,63.3%,0.0%,63.3%,36.7%,53.3%,50.0%,46.7%,46.7%,60.0%,53.3%,63.3%,53.3%,56.7%,60.0%,40.0%,50.0%,43.3%,46.7%,23.3%,36.7%,23.3%,23.3%,40.0%,40.0%,16.7%,16.7%,53.3%,23.3%,0.0%,23.3%,26.7%,26.7%,10.0%,10.0%,16.7%,10.0%,0.0%,0.0%
Nutrition Vegan,Vital,15,All,86.7%,80.0%,60.0%,40.0%,46.7%,60.0%,46.7%,53.3%,26.7%,33.3%,80.0%,26.7%,46.7%,66.7%,33.3%,60.0%,53.3%,33.3%,46.7%,66.7%,40.0%,46.7%,40.0%,33.3%,80.0%,53.3%,26.7%,0.0%,40.0%,33.3%,40.0%,46.7%,40.0%,26.7%,53.3%,26.7%,33.3%,80.0%,26.7%,66.7%,40.0%,26.7%,0.0%,40.0%,26.7%,26.7%,26.7%,26.7%,26.7%,0.0%,26.7%,73.3%,20.0%,26.7%,46.7%,33.3%,53.3%,46.7%,26.7%,53.3%,60.0%,26.7%,33.3%,20.0%,20.0%,46.7%,13.3%,73.3%,0.0%,13.3%,33.3%,13.3%,6.7%,6.7%,26.7%,20.0%,0.0%,26.7%,33.3%,13.3%,6.7%,6.7%,13.3%,6.7%,0.0%,0.0%
Nutrition Vegan,General,30,Mid,90.0%,66.7%,70.0%,56.7%,73.3%,73.3%,73.3%,76.7%,63.3%,46.7%,86.7%,46.7%,70.0%,76.7%,66.7%,70.0%,70.0%,53.3%,63.3%,70.0%,66.7%,56.7%,60.0%,66.7%,60.0%,70.0%,63.3%,0.0%,66.7%,66.7%,66.7%,73.3%,70.0%,63.3%,63.3%,63.3%,66.7%,53.3%,63.3%,50.0%,56.7%,53.3%,0.0%,63.3%,60.0%,63.3%,63.3%,63.3%,63.3%,0.0%,63.3%,36.7%,53.3%,50.0%,46.7%,46.7%,60.0%,53.3%,63.3%,53.3%,56.7%,60.0%,40.0%,50.0%,43.3%,46.7%,23.3%,36.7%,23.3%,23.3%,40.0%,40.0%,16.7%,16.7%,53.3%,23.3%,0.0%,23.3%,26.7%,26.7%,10.0%,10.0%,16.7%,10.0%,0.0%,0.0%
Nutrition Vegan,Vital,15,Mid,86.7%,80.0%,60.0%,40.0%,46.7%,60.0%,46.7%,53.3%,26.7%,33.3%,80.0%,26.7%,46.7%,66.7%,33.3%,60.0%,53.3%,33.3%,46.7%,66.7%,40.0%,46.7%,40.0%,33.3%,80.0%,53.3%,26.7%,0.0%,40.0%,33.3%,40.0%,46.7%,40.0%,26.7%,53.3%,26.7%,33.3%,80.0%,26.7%,66.7%,40.0%,26.7%,0.0%,40.0%,26.7%,26.7%,26.7%,26.7%,26.7%,0.0%,26.7%,73.3%,20.0%,26.7%,46.7%,33.3%,53.3%,46.7%,26.7%,53.3%,60.0%,26.7%,33.3%,20.0%,20.0%,46.7%,13.3%,73.3%,0.0%,13.3%,33.3%,13.3%,6.7%,6.7%,26.7%,20.0%,0.0%,26.7%,33.3%,13.3%,6.7%,6.7%,13.3%,6.7%,0.0%,0.0%
Nutrition Weight Loss,General,30,All,80.0%,56.7%,80.0%,73.3%,70.0%,73.3%,70.0%,80.0%,63.3%,73.3%,80.0%,66.7%,76.7%,73.3%,66.7%,63.3%,73.3%,63.3%,80.0%,73.3%,66.7%,60.0%,76.7%,60.0%,50.0%,83.3%,70.0%,0.0%,70.0%,53.3%,63.3%,66.7%,63.3%,56.7%,56.7%,56.7%,56.7%,50.0%,53.3%,56.7%,70.0%,40.0%,0.0%,66.7%,53.3%,50.0%,50.0%,46.7%,50.0%,0.0%,50.0%,56.7%,53.3%,46.7%,46.7%,43.3%,70.0%,56.7%,46.7%,43.3%,63.3%,53.3%,40.0%,50.0%,46.7%,66.7%,33.3%,46.7%,26.7%,33.3%,63.3%,36.7%,36.7%,36.7%,36.7%,46.7%,0.0%,30.0%,33.3%,20.0%,23.3%,13.3%,3.3%,10.0%,0.0%,0.0%
